,Company,Operating_System,Model,RAM(GB),Hard Disk(GB),Price(₹),Rating,Total Reviews,Product Links
286,HP,,"Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (8GB RAM/512GB SSD/AMD Radeon RX 6500M Graphics(4GB GDDR6)/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0777AX",8,512,58990,4.5,3,https://www.amazon.in/HP-Graphics-Response-Backlit-15-fb0777AX/dp/B0BSG1S3GN/ref=sr_1_67?keywords=laptops&qid=1681320003&sr=8-67
287,ASUS,Windows 11,"Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS",16,512,53990,4.0,1,https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_68?keywords=laptops&qid=1681320003&sr=8-68
288,HP,,"Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge, Touchscreen, 2-in-1 Laptop (4GB RAM/64GB eMMC/Chrome OS/Intel UHD Graphics,1.49Kg), 14a-ca0506TU",4,,32000,3.9,43,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDU5MzgyNzI1ODc1OTg1OjE2ODEzMjAwMDM6c3BfYnRmOjIwMTE4NDI0MjM1Mjk4OjowOjo&url=%2FHP-Chromebook-Micro-Edge-Touchscreen-14a-ca0506TU%2Fdp%2FB09QQPGDBG%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dlaptops%26qid%3D1681320003%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
289,Lenovo,DOS,E41-55 Laptop Ryzen 3-3250U / 8GB RAM/ 1TB 7200RPM HDD/DOS / 2Cell 30WH/WiFi BT/Cam/No FPR// 14 HD Inches/ 1 Year Onsite Warranty/Iron Grey/ 82FJ00A0IH,8,,29990,Previous,,https://www.amazon.in/Lenovo-3-3250U-7200RPM-Warranty-82FJ00A0IH/dp/B0BY2JC6YM/ref=sr_1_66?keywords=laptops&qid=1681320226&sr=8-66
290,Acer,Windows 11,"Aspire 5 Gaming Intel Core i5 12th gen (12-Cores) (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A515-57G/ Gaming Laptop (15.6 inch, Steel Gray 1.8 Kg",8 ,512,59999,3.9,199,https://www.amazon.in/Acer-12-Cores-Windows-Graphics-A515-57G/dp/B0B45RSRQL/ref=sr_1_73?keywords=laptops&qid=1681320226&sr=8-73
291,HP,,"15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU",8,256,31990,3.7,175,https://www.amazon.in/HP-15s-Ryzen-15-6inch-Micro-Edge-15s-ey1508AU/dp/B0BJ2LZXD9/ref=sr_1_80?keywords=laptops&qid=1681320226&sr=8-80
292,Primebook,,4G Android Based MediaTek MT8788 ,4 ,,16990,4.1,580,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJp%2Bmz8xGxK1fJ3FluczlgkzTHX68G9wSi4vlIVeHtxGzw%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
293,Primebook,,4G Android Based MediaTek MT8788 ,4 ,,18990,4.1,117,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-128-gb-emmc-storage-prime-os-thin-light-laptop/p/itm361eee1f998f3?pid=COMGH2NKUSYTW4HN&lid=LSTCOMGH2NKUSYTW4HN4SJNGE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJqIZuAD1dFimUXKpmyuVSjokpRxr9cmgDO%2F0L%2BI6Evppg%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
294,RedmiBook,Windows 11,Pro Core i5 11th Gen ,8 ,512 ,37990,4.1,"5,543",https://www.flipkart.com/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
295,ASUS,Windows 11,Vivobook 15 Core i3 11th Gen ,8 ,512 ,34990,4.2,"1,944",https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-thin-light-laptop/p/itmaafbc240a8774?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
296,Lenovo,Windows 11,IdeaPad 3 Core i3 12th Gen ,8 ,512 ,37990,4,64,https://www.flipkart.com/lenovo-ideapad-3-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm9d759b3e6f33f?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEGEC9S3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGP26H8PHCAMZE.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
297,ASUS,Windows 11,TUF Gaming F15 Core i5 10th Gen ,8 ,512 ,54990,4.5,"5,364",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn355w-fx506lh-hn258w-laptop/p/itmc9f94625ef76b?pid=COMGEMH5FTFWZZFZ&lid=LSTCOMGEMH5FTFWZZFZLDDTPQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGEMH5FTFWZZFZ.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
298,Infinix,Windows 11,Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,8 ,256 ,23990,4.1,327,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-8-gb-256-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm8bed445f333bc?pid=COMGZ7YCAXM2AFNU&lid=LSTCOMGZ7YCAXM2AFNU669ODD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGZ7YCAXM2AFNU.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
299,Lenovo,Windows 11,IdeaPad 3 Intel Core i3 11th Gen ,8 ,512 ,38990,4.3,"5,242",https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-82h803e6in-thin-light-laptop/p/itmd8891a36fdd7c?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJp9oFsYpv4gi7FHuun5Hp1vUV9w%2BGL561ctRYoD%2BIfBFQ%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
300,ASUS,Windows 11,Vivobook 15 Core i5 11th Gen ,8 ,512 ,43990,4.2,922,https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGFHNGGWNDVGSY.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
301,acer,Windows 11,Extensa Ryzen 5 Quad Core 7520U ,8 ,512 ,38990,4.2,73,https://www.flipkart.com/acer-extensa-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-ex215-23-notebook/p/itma4956a4a3764b?pid=COMGMXKHFPASREJG&lid=LSTCOMGMXKHFPASREJG9CMDRC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGMXKHFPASREJG.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
302,realme,Windows 10,Book (Slim) Core i3 11th Gen ,8 ,256 ,35990,4.4,"13,414",https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm7109ffde0b2cc?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
303,Lenovo,Windows 11,IdeaPad Gaming 3 Intel Core i5 12th Gen ,16 ,512 ,72990,4.1,39,https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15iah7-laptop/p/itm904084ca5d8a5?pid=COMGKC6YXBYAVU4F&lid=LSTCOMGKC6YXBYAVU4FRXSNMU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJrzJIEBlwLnftFJi1CW1u8Cnh0h1Mc%2Fef29D7RPRk0lQA%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
304,HP,Windows 11,247 G8 Athlon Dual Core ,8 ,1 ,23990,4.1,27,https://www.flipkart.com/hp-247-g8-athlon-dual-core-8-gb-1-tb-hdd-windows-11-home-notebook/p/itm41d5f6caf32be?pid=COMGEFYGG4HXWVWY&lid=LSTCOMGEFYGG4HXWVWY1SXCDY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGEFYGG4HXWVWY.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
305,HP,Windows 11,Victus Core i5 11th Gen ,8 ,512 ,58990,4,99,https://www.flipkart.com/hp-victus-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-16-d0310tx-gaming-laptop/p/itmfc13a23a77109?pid=COMGHYYK8FRAYF4Y&lid=LSTCOMGHYYK8FRAYF4YWATZKP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGHYYK8FRAYF4Y.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
306,ASUS,Windows 11,TUF Dash F15 (2022) Core i5 12th Gen ,8 ,512 ,82990,4.5,248,https://www.flipkart.com/asus-tuf-dash-f15-2022-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fx517zc-hn035ws-gaming-laptop/p/itme5b388b99b91b?pid=COMGFYQZBR2MS4B9&lid=LSTCOMGFYQZBR2MS4B9OQOW5D&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGFYQZBR2MS4B9.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
307,Lenovo,Windows 11,IdeaPad Slim 3 Intel Core i3 11th Gen ,8 ,512 ,38790,4.2,774,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-81x800j3in-81x800lgin-81x800n2in-thin-light-laptop/p/itmd51064c6f0c1a?pid=COMGBNFUTNYFZRJQ&lid=LSTCOMGBNFUTNYFZRJQMZ1NAL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJrHiLR1G%2FY%2B3uJaxBrNwGZSR57fkt3UBh4sZN7xT%2B2sSA%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
308,HP,Windows 11,Ryzen 3 Dual Core 3250U ,8 ,512 ,32990,4.2,"1,331",https://www.flipkart.com/hp-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15s-eq1580au-thin-light-laptop/p/itm38089bbd52842?pid=COMGZYRYCB3JVMJS&lid=LSTCOMGZYRYCB3JVMJSLOJRY5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGZYRYCB3JVMJS.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
309,ASUS,Windows 11,TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,8 ,1 ,54990,4.4,443,https://www.flipkart.com/asus-tuf-gaming-a15-ryzen-5-hexa-core-amd-r5-4600h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fa506ihrz-hn112w-laptop/p/itm20d472c5059c0?pid=COMGGJZFJRZY45WX&lid=LSTCOMGGJZFJRZY45WXD02LFG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGGJZFJRZY45WX.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
310,ASUS,Windows 11,VivoBook 14 (2021) Celeron Dual Core ,4 ,256 ,24990,4.1,"2,048",https://www.flipkart.com/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
311,Lenovo,Windows 11,IdeaPad 3 Ryzen 5 Hexa Core 5500U ,8 ,512 ,44027,4.3,"1,876",https://www.flipkart.com/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJp8wi9kHFM34wiym7sbi%2FQDQ9nYDE5Y8Xoj2YQOsaAS6g%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
312,APPLE,Mac OS Big,2020 Macbook Air M1 ,8 ,256 ,82900,4.7,"9,831",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
313,HP,Windows 11,Laptop Core i3 11th Gen ,8 ,512 ,39990,4.2,148,https://www.flipkart.com/hp-laptop-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2717tu-thin-light/p/itm2782d44daaebf?pid=COMGHAGNPKH4AR8V&lid=LSTCOMGHAGNPKH4AR8VGHOYNG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGHAGNPKH4AR8V.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
314,ASUS,Windows 11,ROG Strix G15 Ryzen 7 Octa Core AMD R7,16 ,1 ,84990,4.4,301,https://www.flipkart.com/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=65b71ebe-b26a-41ed-aa29-313146e5bc3b.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
315,Lenovo,Windows 11,Ryzen 3 Quad Core 7320U ,8 ,512 ,40990,,,https://www.flipkart.com/lenovo-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm7d562825d1f7b?pid=COMGNY3BTHRQ8MJG&lid=LSTCOMGNY3BTHRQ8MJG2YIZH3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_KFH8NrzGuvAOFb3cwu2ex9r%2FuhQO8BUTqyLrU%2BGKBJpD4Eze4D9Smge6K8qH%2FKPYf2pndgKBcNdhaZwwcoa5Jg%3D%3D&ppt=None&ppn=None&ssid=0fjdoloto00000001685080448086&qH=c06ea84a1e3dc3c6
316,Lenovo,Windows 11,ThinkBook 15 Ryzen 3 Hexa Core 5300U ,8 ,512 ,32990,4.2,264,https://www.flipkart.com/lenovo-thinkbook-15-ryzen-3-hexa-core-5300u-8-gb-512-gb-ssd-windows-11-home-tb15-g3-acl-thin-light-laptop/p/itmf4aef188b643f?pid=COMGZ3SPX55WFP2V&lid=LSTCOMGZ3SPX55WFP2VMEZP1Y&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGZ3SPX55WFP2V.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
317,APPLE,Mac OS Monterey,2022 MacBook AIR M2 ,8 ,256 ,105490,4.8,165,https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itm48f8f11263927?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG859PGKWX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGFB2GMCRXZG85.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
318,ASUS,Windows 11,TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7,8 ,512 ,67990,4.4,978,https://www.flipkart.com/asus-tuf-gaming-a17-90whr-battery-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa706icb-hx061w-fa706ic-hx036w-laptop/p/itm1d301df445d80?pid=COMGB732ZPGYB2JP&lid=LSTCOMGB732ZPGYB2JPYP6PAL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGB732ZPGYB2JP.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
319,Primebook,,4G Android Based MediaTek MT8788 ,4 ,,16990,4.1,580,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=en_mN5hVj6lh1TOezwWZgvZldV%2Ffb15ClKkk505DEB3f6xuput%2FjAHw1zUsOJvrLZtltJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
320,MSI,Windows 11,Bravo 15 Ryzen 5 Hexa Core AMD R5,8 ,512 ,49990,4.4,"2,874",https://www.flipkart.com/msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGGHMQVWN6JJGC.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
321,HP,Windows 11,Pavilion Ryzen 5 Hexa Core 5625U ,8 ,512 ,51930,4.3,323,https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-14-ec1003au-thin-light-laptop/p/itm1a257206fe320?pid=COMGCGSTVVGKQTVA&lid=LSTCOMGCGSTVVGKQTVAJVF572&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGCGSTVVGKQTVA.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
322,ASUS,Windows 11,TUF Gaming A15 (2022) Ryzen 7 Octa Core 6800HS ,16 ,1 ,82990,4.8,34,https://www.flipkart.com/asus-tuf-gaming-a15-2022-ryzen-7-octa-core-6800hs-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-fa507re-hn043ws-laptop/p/itmc5a4f7e5e3893?pid=COMGKNA68SH9C54B&lid=LSTCOMGKNA68SH9C54BHENUJR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGKNA68SH9C54B.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
323,Primebook,,4G Android Based MediaTek MT8788 ,4 ,,18990,4.1,117,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-128-gb-emmc-storage-prime-os-thin-light-laptop/p/itm361eee1f998f3?pid=COMGH2NKUSYTW4HN&lid=LSTCOMGH2NKUSYTW4HN4SJNGE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=en_mN5hVj6lh1TOezwWZgvZldV%2Ffb15ClKkk505DEB3f6whTQDU0p6YASwDO85LJQ0%2BP4ppjc%2BT%2FeOgjZrIu1PgKA%3D%3D&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
324,ASUS,Windows 11,Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,16 ,512 ,46990,4.4,"1,177",https://www.flipkart.com/asus-vivobook-k15-oled-ryzen-5-hexa-core-amd-r5-5500u-16-gb-512-gb-ssd-windows-11-home-km513ua-l512ws-thin-light-laptop/p/itma40e1d9d1a424?pid=COMGHF6JY8NYFVHC&lid=LSTCOMGHF6JY8NYFVHCTT2RHW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=145ce9e6-6fd1-4504-b8f2-ad69f52b2470.COMGHF6JY8NYFVHC.SEARCH&ppt=None&ppn=None&ssid=rkpu7wfycw0000001685080450064&qH=c06ea84a1e3dc3c6
